date,open,high,low,close,volume,vwap
2023-02-06,22936.34,23163.05,22637.51,22764.07,23825006542,22875.2425
2023-02-07,22763.42,23348.73,22748.11,23244.67,27187964471,23026.2325
2023-02-08,23244.64,23451.01,22669.09,22964.38,25371367758,23082.28
2023-02-09,22963.91,23011.18,21700,21800.63,32572572185,22368.93
2023-02-10,21800.62,21942.41,21467.43,21628.97,27078406594,21709.8575
2023-02-11,21628.97,21904,21605.35,21863.73,16356226232,21750.5125
2023-02-12,21863.73,22091.88,21631,21789.8,17821046406,21844.1025
2023-02-13,21789.79,21903.03,21366.45,21789.14,23918742607,21712.1025
2023-02-14,21789,22331.76,21545.67,22206.27,26792596581,21968.175
2023-02-15,22206.26,24386.5,22054.17,24329.04,32483312909,23243.9925
2023-02-16,24326.95,25256.83,23510.73,23516.15,39316664596,24152.665
2023-02-17,23516.95,25025,23344.12,24577.6,41358451255,24115.9175
2023-02-18,24577.6,24879.33,24407.67,24636.23,19625427158,24625.2075
2023-02-19,24635.85,25200,24192.7,24281.31,25555105670,24577.465
2023-02-20,24278.81,25128.11,23841.08,24844.97,28987376573,24523.2425
2023-02-21,24844.21,25288.88,24153.96,24454.43,31252098714,24685.37
2023-02-22,24454.08,24480,23581.64,24184.44,30199996781,24175.04
2023-02-23,24184.9,24600.95,23612.59,23943.32,30476264066,24085.44
2023-02-24,23943.32,24132.67,22520,23186.88,26811744928,23445.7175
2023-02-25,23186.88,23220.56,22716.47,23159.71,16100721565,23070.905
2023-02-26,23159.71,23689.77,23052.78,23556.83,16644534842,23364.7725
2023-02-27,23556.83,23895.51,23109.06,23489.52,22660763494,23512.73
2023-02-28,23490.01,23597.98,23027.24,23145.32,20535363434,23315.1375
2023-03-01,23144.37,23999.99,23025.17,23631.52,24662841200,23450.2625
2023-03-02,23632.12,23798.62,23196.09,23468.24,20386398516,23523.7675
2023-03-03,23468.79,23477.28,21988.02,22358.18,26062404610,22823.0675
2023-03-04,22358.18,22409.82,22150.71,22350.95,11166012913,22317.415
2023-03-05,22349.74,22654.64,22195.13,22432.69,13317001733,22408.05
2023-03-06,22431.99,22599.99,22264.73,22410.31,17353192895,22426.755
2023-03-07,22410.13,22557.03,21932.74,22198.48,22765452204,22274.595
2023-03-08,22198.09,22281.55,21580.84,21698.37,22536575684,21939.7125
